u,v,key,length_m,accident_count
294102918,615141441,0,479.0,0
294102918,2580616857,0,597.226,0
615141441,615141473,0,335.84900000000005,2
2580616857,2580628821,0,4062.634,2
294464437,2211335018,0,8.974,0
294464437,1583516893,0,64.485,0
294464437,1583516789,0,146.813,0
2211335018,294464437,0,8.974,0
2211335018,1583516711,0,40.519,0
2211335018,3126883500,0,80.288,0
1583516893,5338497762,0,44.056,0
1583516893,1583516894,0,122.56700000000001,0
1583516893,836229022,0,112.41199999999999,0
1583516893,294464437,0,64.485,0
1583516789,2211334997,0,9.614,0
1583516789,770103318,0,127.03399999999999,0
294464475,5338497755,0,71.381,0
294464475,294464481,0,60.574999999999996,0
294464475,836229022,0,118.053,0
5338497755,1583517380,0,45.171,0
5338497755,5338497756,0,117.334,0
294464481,1583517537,0,118.759,0
294464481,1583517535,0,104.712,0
294464481,1583517615,0,54.84,0
294464481,294464475,0,60.574999999999996,0
836229022,294464475,0,118.053,0
836229022,1583516893,0,112.412,0
836229022,1583517029,0,116.303,0
1583517537,1583517640,0,56.557,0
1583517537,1583517534,0,120.479,0
1583517537,294464481,0,118.759,0
1583517535,1583517528,0,101.369,0
1583517535,1583517347,0,60.72,0
1583517535,294464481,0,104.712,0
1583517615,1583517640,0,119.829,0
1583517615,4397026747,0,56.188,0
1583517615,294464481,0,54.84,0
294464496,2174976615,0,19.748,0
294464496,4397026747,0,42.23,0
294464496,2174989664,0,96.761,0
2174976615,294464496,0,19.748,0
2174976615,2174976619,0,122.56200000000001,0
2174976615,1583517991,0,86.688,0
4397026747,294464496,0,42.23,0
4397026747,1583517615,0,56.188,0
2174989664,2174989662,0,103.06,0
2174989664,1583517609,0,82.779,0
294464503,1583517991,0,16.425,0
294464503,4388841312,0,62.107,0
294464503,1583518142,0,146.72299999999998,0
1583517991,294464503,0,16.425,0
1583517991,4409185398,0,50.413,0
1583517991,2174976615,0,86.688,0
4388841312,1583518148,0,24.952,0
4388841312,4409185397,0,44.148,0
1583518142,1583518163,0,53.497,0
1583518142,1583518151,0,11.661999999999999,0
1583518142,294464503,0,146.72299999999998,0
294464578,3862173389,0,22.375,0
294464578,1583519125,0,135.06900000000002,0
294464578,1583519165,0,48.657,0
294464578,6360308362,0,57.054,0
3862173389,294464578,0,22.375,0
3862173389,6360308360,0,56.307,0
3862173389,3862173385,0,77.835,0
1583519125,294464578,0,135.06900000000002,0
1583519125,3862173368,0,42.495999999999995,0
1583519125,4465975725,0,51.617,0
1583519165,1583519069,0,62.36,0
1583519165,3862173377,0,97.956,0
1583519165,294464578,0,48.657,0
6360308362,6360308350,0,18.368,0
6360308362,6360308363,0,48.907,0
6360308362,6360308352,0,97.20400000000001,0
6360308362,294464578,0,57.054,0
294464611,1583520249,0,46.897,0
294464611,3808788397,0,36.283,0
294464611,3862173409,0,118.15499999999999,0
294464611,6358916857,0,92.313,0
1583520249,3808788383,0,70.275,0
1583520249,294464611,0,46.897,0
1583520249,3808788397,0,31.404,0
3808788397,3808788396,0,58.373,0
3808788397,294464611,0,36.283,0
