serial number,year,date,time,accident details,route,accident type,party 1,party 2,Party 3,Party 4,Party 5,latitude,longitude,elementary school district,dead
181,H29,7/10/2017,17:35,重傷事故,一般市道,出合い頭,自転車,自動車,,,,34.79512194,135.4061911,,
182,H29,7/12/2017,17:40,軽傷事故,一般市道,出合い頭,自転車,原付,,,,34.792875,135.4008719,,
183,H29,7/13/2017,9:30,軽傷事故,県道山本伊丹線,人対車両,自転車,歩行者,,,,34.77964611,135.4103511,,
184,H29,7/13/2017,15:25,軽傷事故,一般市道,左折時,自転車,自転車,,,,34.78722,135.3754339,,
185,H29,7/13/2017,16:20,軽傷事故,県道東富松御願塚線,出合い頭,自転車,自動車,,,,34.76624694,135.4133061,,
186,H29,7/15/2017,14:00,軽傷事故,その他,車両相互,自動車,自転車,,,,34.80376,135.3842819,,
187,H29,7/16/2017,11:20,軽傷事故,一般市道,車両相互,自動車,自転車,,,,34.80773389,135.383165,,
188,H29,7/17/2017,11:20,軽傷事故,県道東富松御願塚線,出合い頭,自動車,自転車,,,,34.76628306,135.4153769,,
189,H29,7/17/2017,11:30,軽傷事故,一般市道,右折時,自動車,自転車,,,,34.76991139,135.3848856,,
190,H29,7/19/2017,7:16,重傷事故,一般市道,出合い頭,自動車,自転車,,,,34.79771611,135.4048881,,
191,H29,7/19/2017,8:05,軽傷事故,国道176号,車両相互,不明,自転車,,,,34.81030694,135.3897561,,
192,H29,7/19/2017,10:03,軽傷事故,一般市道,出合い頭,自動車,自転車,,,,34.80757694,135.3852536,,
193,H29,7/19/2017,16:45,軽傷事故,一般市道,人対車両,自転車,歩行者,,,,34.79181972,135.4055119,,
194,H29,7/19/2017,18:48,軽傷事故,県道米谷昆陽尼崎線,出合い頭,自動車,自転車,,,,34.79406139,135.3848044,,
195,H29,7/20/2017,17:55,軽傷事故,一般市道,追い越し時,不明,自転車,,,,34.76604889,135.4008561,,
196,H29,7/20/2017,19:15,軽傷事故,一般市道,追突,自転車,自転車,,,,34.76581556,135.396915,,
197,H29,7/21/2017,11:15,軽傷事故,県道中野中筋線,出合い頭,二輪車,自転車,,,,34.80935111,135.3814169,,
198,H29,7/21/2017,14:10,軽傷事故,一般市道,出合い頭,自転車,自動車,,,,34.78295889,135.4117789,,
199,H29,7/22/2017,8:02,軽傷事故,一般市道,出合い頭,自転車,自動車,,,,34.7651025,135.4086856,,
200,H29,7/22/2017,10:45,軽傷事故,一般市道,車両相互,自転車,自動車,,,,34.77994889,135.4205475,,
201,H29,7/22/2017,16:30,軽傷事故,国道176号,左折時,自動車,自転車,,,,34.80990694,135.3898678,,
202,H29,7/24/2017,10:30,軽傷事故,県道米谷昆陽尼崎線,車両相互,自動車,自転車,,,,34.76607194,135.4090839,,
203,H29,7/25/2017,11:05,軽傷事故,県道尼崎池田線,出合い頭,自動車,自転車,,,,34.78073444,135.4177517,,
204,H29,7/25/2017,14:10,軽傷事故,一般市道,出合い頭,自動車,自転車,,,,34.78223389,135.4065781,,
205,H29,7/25/2017,17:35,軽傷事故,一般市道,出合い頭,自転車,自動車,,,,34.77946667,135.3960183,,
206,H29,7/25/2017,18:50,軽傷事故,一般市道,出合い頭,自転車,自動車,,,,34.77780139,135.3893303,,
207,H29,7/26/2017,23:55,軽傷事故,県道山本伊丹線,右折時,自動車,自転車,,,,34.77537,135.4106919,,
208,H29,7/28/2017,11:35,軽傷事故,国道171号,出合い頭,自動車,自転車,,,,34.77315333,135.3830347,,
209,H29,7/29/2017,13:50,軽傷事故,一般市道,出合い頭,自転車,二輪車,,,,34.79952972,135.3952103,,
210,H29,7/30/2017,17:35,軽傷事故,一般市道,出合い頭,自転車,二輪車,,,,34.7741325,135.382615,,
211,H29,7/31/2017,10:45,軽傷事故,国道171号,出合い頭,自転車,原付,,,,34.79783806,135.4154431,,
212,H29,8/1/2017,13:45,軽傷事故,国道171号,出合い頭,不明,自転車,,,,34.77316889,135.3830361,,
213,H29,8/2/2017,12:05,軽傷事故,一般市道,出合い頭,自転車,自動車,,,,34.77062111,135.39324,,
214,H29,8/3/2017,7:30,軽傷事故,一般市道,左折時,不明,自転車,,,,34.78552611,135.41109,,
215,H29,8/3/2017,7:50,軽傷事故,県道東富松御願塚線,右折時,自転車,二輪車,,,,34.76567806,135.4057581,,
216,H29,8/3/2017,16:09,軽傷事故,県道尼崎宝塚線,右折時,自動車,自転車,,,,34.77391889,135.3848781,,
217,H29,8/3/2017,19:22,軽傷事故,一般市道,正面衝突,自動車,自転車,,,,34.78560389,135.399825,,
218,H29,8/6/2017,13:00,重傷事故,国道171号,右折時,自動車,自転車,,,,34.77710806,135.390495,,
219,H29,8/8/2017,8:09,重傷事故,国道171号,左折時,自動車,自転車,,,,34.78082889,135.3950431,,
220,H29,8/8/2017,19:40,軽傷事故,一般市道,出合い頭,自転車,自転車,,,,34.78363389,135.4155803,,
221,H29,8/16/2017,9:00,軽傷事故,県道山本伊丹線,出合い頭,不明,自転車,,,,34.78098889,135.410065,,
222,H29,8/16/2017,14:44,重傷事故,県道伊丹豊中線,右折時,自動車,自転車,,,,34.78274333,135.4246525,,
223,H29,8/17/2017,6:47,軽傷事故,県道寺本伊丹線,追い越し時,自動車,自転車,,,,34.78245028,135.4158761,,
224,H29,8/20/2017,10:10,軽傷事故,県道尼崎池田線,出合い頭,自動車,自転車,,,,34.78749889,135.4169681,,
225,H29,8/20/2017,12:23,軽傷事故,一般市道,出合い頭,原付,自転車,,,,34.78728889,135.3861739,,
226,H29,8/21/2017,8:22,軽傷事故,国道171号,左折時,自動車,自転車,,,,34.80024139,135.4297142,,
227,H29,8/21/2017,8:30,軽傷事故,一般市道,出合い頭,自動車,自転車,,,,34.78605444,135.4096356,,
228,H29,8/21/2017,8:30,軽傷事故,一般市道,出合い頭,自転車,自動車,,,,34.7981125,135.4048578,,
